i=1	minmul(i)=0	res=0
i=2	minmul(i)=1	res=1
i=3	minmul(i)=2	res=3
i=4	minmul(i)=3	res=6
i=5	minmul(i)=4	res=10
i=6	minmul(i)=4	res=14
i=7	minmul(i)=4	res=18
i=8	minmul(i)=4	res=22
i=9	minmul(i)=4	res=26
i=10	minmul(i)=4	res=30
i=11	minmul(i)=5	res=35
i=12	minmul(i)=5	res=40
i=13	minmul(i)=5	res=45
i=14	minmul(i)=5	res=50
i=15	minmul(i)=5	res=55
i=16	minmul(i)=5	res=60
i=17	minmul(i)=5	res=65
i=18	minmul(i)=5	res=70
i=19	minmul(i)=6	res=76
i=20	minmul(i)=6	res=82
i=21	minmul(i)=6	res=88
i=22	minmul(i)=6	res=94
i=23	minmul(i)=6	res=100
i=24	minmul(i)=6	res=106
i=25	minmul(i)=6	res=112
i=26	minmul(i)=6	res=118
i=27	minmul(i)=6	res=124
i=28	minmul(i)=6	res=130
i=29	minmul(i)=7	res=137
i=30	minmul(i)=7	res=144
i=31	minmul(i)=7	res=151
i=32	minmul(i)=7	res=158
i=33	minmul(i)=7	res=165
i=34	minmul(i)=7	res=172
i=35	minmul(i)=7	res=179
i=36	minmul(i)=7	res=186
i=37	minmul(i)=7	res=193
i=38	minmul(i)=7	res=200
i=39	minmul(i)=7	res=207
i=40	minmul(i)=7	res=214
i=41	minmul(i)=7	res=221
i=42	minmul(i)=7	res=228
i=43	minmul(i)=7	res=235
i=44	minmul(i)=7	res=242
i=45	minmul(i)=7	res=249
i=46	minmul(i)=7	res=256
i=47	minmul(i)=8	res=264
i=48	minmul(i)=8	res=272
i=49	minmul(i)=8	res=280
i=50	minmul(i)=8	res=288
i=51	minmul(i)=8	res=296
i=52	minmul(i)=8	res=304
i=53	minmul(i)=8	res=312
i=54	minmul(i)=8	res=320
i=55	minmul(i)=8	res=328
i=56	minmul(i)=8	res=336
i=57	minmul(i)=8	res=344
i=58	minmul(i)=8	res=352
i=59	minmul(i)=8	res=360
i=60	minmul(i)=8	res=368
i=61	minmul(i)=8	res=376
i=62	minmul(i)=8	res=384
i=63	minmul(i)=8	res=392
i=64	minmul(i)=8	res=400
i=65	minmul(i)=8	res=408
i=66	minmul(i)=8	res=416
i=67	minmul(i)=8	res=424
i=68	minmul(i)=8	res=432
i=69	minmul(i)=8	res=440
i=70	minmul(i)=8	res=448
i=71	minmul(i)=9	res=457
i=72	minmul(i)=9	res=466
i=73	minmul(i)=9	res=475
i=74	minmul(i)=9	res=484
i=75	minmul(i)=9	res=493
i=76	minmul(i)=9	res=502
i=77	minmul(i)=9	res=511
i=78	minmul(i)=9	res=520
i=79	minmul(i)=9	res=529
i=80	minmul(i)=9	res=538
i=81	minmul(i)=9	res=547
i=82	minmul(i)=9	res=556
i=83	minmul(i)=9	res=565
i=84	minmul(i)=9	res=574
i=85	minmul(i)=9	res=583
i=86	minmul(i)=9	res=592
i=87	minmul(i)=9	res=601
i=88	minmul(i)=9	res=610
i=89	minmul(i)=9	res=619
i=90	minmul(i)=9	res=628
i=91	minmul(i)=9	res=637
i=92	minmul(i)=9	res=646
i=93	minmul(i)=9	res=655
i=94	minmul(i)=9	res=664
i=95	minmul(i)=9	res=673
i=96	minmul(i)=9	res=682
i=97	minmul(i)=9	res=691
i=98	minmul(i)=9	res=700
i=99	minmul(i)=9	res=709
i=100	minmul(i)=9	res=718
i=101	minmul(i)=9	res=727
i=102	minmul(i)=9	res=736
i=103	minmul(i)=9	res=745
i=104	minmul(i)=9	res=754
i=105	minmul(i)=9	res=763
i=106	minmul(i)=9	res=772
i=107	minmul(i)=9	res=781
i=108	minmul(i)=9	res=790
i=109	minmul(i)=9	res=799
i=110	minmul(i)=9	res=808
i=111	minmul(i)=9	res=817
i=112	minmul(i)=9	res=826
i=113	minmul(i)=9	res=835
i=114	minmul(i)=9	res=844
i=115	minmul(i)=9	res=853
i=116	minmul(i)=9	res=862
i=117	minmul(i)=9	res=871
i=118	minmul(i)=9	res=880
i=119	minmul(i)=9	res=889
i=120	minmul(i)=9	res=898
i=121	minmul(i)=9	res=907
i=122	minmul(i)=9	res=916
i=123	minmul(i)=9	res=925
i=124	minmul(i)=9	res=934
i=125	minmul(i)=9	res=943
i=126	minmul(i)=9	res=952
i=127	minmul(i)=10	res=962
i=128	minmul(i)=10	res=972
i=129	minmul(i)=10	res=982
i=130	minmul(i)=10	res=992
i=131	minmul(i)=10	res=1002
i=132	minmul(i)=10	res=1012
i=133	minmul(i)=10	res=1022
i=134	minmul(i)=10	res=1032
i=135	minmul(i)=10	res=1042
i=136	minmul(i)=10	res=1052
i=137	minmul(i)=10	res=1062
i=138	minmul(i)=10	res=1072
i=139	minmul(i)=10	res=1082
i=140	minmul(i)=10	res=1092
i=141	minmul(i)=10	res=1102
i=142	minmul(i)=10	res=1112
i=143	minmul(i)=10	res=1122
i=144	minmul(i)=10	res=1132
i=145	minmul(i)=10	res=1142
i=146	minmul(i)=10	res=1152
i=147	minmul(i)=10	res=1162
i=148	minmul(i)=10	res=1172
i=149	minmul(i)=10	res=1182
i=150	minmul(i)=10	res=1192
i=151	minmul(i)=10	res=1202
i=152	minmul(i)=10	res=1212
i=153	minmul(i)=10	res=1222
i=154	minmul(i)=10	res=1232
i=155	minmul(i)=10	res=1242
i=156	minmul(i)=10	res=1252
i=157	minmul(i)=10	res=1262
i=158	minmul(i)=10	res=1272
i=159	minmul(i)=10	res=1282
i=160	minmul(i)=10	res=1292
i=161	minmul(i)=10	res=1302
i=162	minmul(i)=10	res=1312
i=163	minmul(i)=10	res=1322
i=164	minmul(i)=10	res=1332
i=165	minmul(i)=10	res=1342
i=166	minmul(i)=10	res=1352
i=167	minmul(i)=10	res=1362
i=168	minmul(i)=10	res=1372
i=169	minmul(i)=10	res=1382
i=170	minmul(i)=10	res=1392
i=171	minmul(i)=10	res=1402
i=172	minmul(i)=10	res=1412
i=173	minmul(i)=10	res=1422
i=174	minmul(i)=10	res=1432
i=175	minmul(i)=10	res=1442
i=176	minmul(i)=10	res=1452
i=177	minmul(i)=10	res=1462
i=178	minmul(i)=10	res=1472
i=179	minmul(i)=10	res=1482
i=180	minmul(i)=10	res=1492
i=181	minmul(i)=10	res=1502
i=182	minmul(i)=10	res=1512
i=183	minmul(i)=10	res=1522
i=184	minmul(i)=10	res=1532
i=185	minmul(i)=10	res=1542
i=186	minmul(i)=10	res=1552
i=187	minmul(i)=10	res=1562
i=188	minmul(i)=10	res=1572
i=189	minmul(i)=10	res=1582
i=190	minmul(i)=10	res=1592
