i=1	minmul(i)=0	res=0
i=2	minmul(i)=1	res=1
i=3	minmul(i)=2	res=3
i=4	minmul(i)=3	res=6
i=5	minmul(i)=4	res=10
i=6	minmul(i)=5	res=15
i=7	minmul(i)=5	res=20
i=8	minmul(i)=5	res=25
i=9	minmul(i)=5	res=30
i=10	minmul(i)=5	res=35
i=11	minmul(i)=5	res=40
i=12	minmul(i)=5	res=45
i=13	minmul(i)=5	res=50
i=14	minmul(i)=5	res=55
i=15	minmul(i)=5	res=60
i=16	minmul(i)=5	res=65
i=17	minmul(i)=5	res=70
i=18	minmul(i)=5	res=75
i=19	minmul(i)=6	res=81
i=20	minmul(i)=6	res=87
i=21	minmul(i)=6	res=93
i=22	minmul(i)=6	res=99
i=23	minmul(i)=6	res=105
i=24	minmul(i)=6	res=111
i=25	minmul(i)=6	res=117
i=26	minmul(i)=6	res=123
i=27	minmul(i)=6	res=129
i=28	minmul(i)=6	res=135
i=29	minmul(i)=7	res=142
i=30	minmul(i)=7	res=149
i=31	minmul(i)=7	res=156
i=32	minmul(i)=7	res=163
i=33	minmul(i)=6	res=169
i=34	minmul(i)=6	res=175
i=35	minmul(i)=7	res=182
i=36	minmul(i)=7	res=189
i=37	minmul(i)=7	res=196
i=38	minmul(i)=7	res=203
i=39	minmul(i)=7	res=210
i=40	minmul(i)=7	res=217
i=41	minmul(i)=7	res=224
i=42	minmul(i)=7	res=231
i=43	minmul(i)=7	res=238
i=44	minmul(i)=7	res=245
i=45	minmul(i)=7	res=252
i=46	minmul(i)=7	res=259
i=47	minmul(i)=8	res=267
i=48	minmul(i)=8	res=275
i=49	minmul(i)=7	res=282
i=50	minmul(i)=7	res=289
i=51	minmul(i)=7	res=296
i=52	minmul(i)=7	res=303
i=53	minmul(i)=8	res=311
i=54	minmul(i)=8	res=319
i=55	minmul(i)=8	res=327
i=56	minmul(i)=8	res=335
i=57	minmul(i)=8	res=343
i=58	minmul(i)=8	res=351
i=59	minmul(i)=8	res=359
i=60	minmul(i)=8	res=367
i=61	minmul(i)=8	res=375
i=62	minmul(i)=8	res=383
i=63	minmul(i)=8	res=391
i=64	minmul(i)=8	res=399
i=65	minmul(i)=8	res=407
i=66	minmul(i)=8	res=415
i=67	minmul(i)=8	res=423
i=68	minmul(i)=8	res=431
i=69	minmul(i)=8	res=439
i=70	minmul(i)=8	res=447
i=71	minmul(i)=9	res=456
i=72	minmul(i)=9	res=465
i=73	minmul(i)=8	res=473
i=74	minmul(i)=8	res=481
i=75	minmul(i)=8	res=489
i=76	minmul(i)=8	res=497
i=77	minmul(i)=8	res=505
i=78	minmul(i)=8	res=513
i=79	minmul(i)=9	res=522
i=80	minmul(i)=9	res=531
i=81	minmul(i)=8	res=539
i=82	minmul(i)=8	res=547
i=83	minmul(i)=8	res=555
i=84	minmul(i)=8	res=563
i=85	minmul(i)=8	res=571
i=86	minmul(i)=8	res=579
i=87	minmul(i)=9	res=588
i=88	minmul(i)=9	res=597
i=89	minmul(i)=9	res=606
i=90	minmul(i)=9	res=615
i=91	minmul(i)=9	res=624
i=92	minmul(i)=9	res=633
i=93	minmul(i)=9	res=642
i=94	minmul(i)=9	res=651
i=95	minmul(i)=9	res=660
i=96	minmul(i)=9	res=669
i=97	minmul(i)=9	res=678
i=98	minmul(i)=9	res=687
i=99	minmul(i)=8	res=695
i=100	minmul(i)=8	res=703
i=101	minmul(i)=9	res=712
i=102	minmul(i)=9	res=721
i=103	minmul(i)=9	res=730
i=104	minmul(i)=9	res=739
i=105	minmul(i)=9	res=748
i=106	minmul(i)=9	res=757
i=107	minmul(i)=9	res=766
i=108	minmul(i)=9	res=775
i=109	minmul(i)=9	res=784
i=110	minmul(i)=9	res=793
i=111	minmul(i)=9	res=802
i=112	minmul(i)=9	res=811
i=113	minmul(i)=9	res=820
i=114	minmul(i)=9	res=829
i=115	minmul(i)=9	res=838
i=116	minmul(i)=9	res=847
i=117	minmul(i)=9	res=856
i=118	minmul(i)=9	res=865
i=119	minmul(i)=9	res=874
i=120	minmul(i)=9	res=883
i=121	minmul(i)=9	res=892
i=122	minmul(i)=9	res=901
i=123	minmul(i)=9	res=910
i=124	minmul(i)=9	res=919
i=125	minmul(i)=9	res=928
i=126	minmul(i)=9	res=937
i=127	minmul(i)=10	res=947
i=128	minmul(i)=10	res=957
i=129	minmul(i)=9	res=966
i=130	minmul(i)=9	res=975
i=131	minmul(i)=9	res=984
i=132	minmul(i)=9	res=993
i=133	minmul(i)=9	res=1002
i=134	minmul(i)=9	res=1011
i=135	minmul(i)=9	res=1020
i=136	minmul(i)=9	res=1029
i=137	minmul(i)=9	res=1038
i=138	minmul(i)=9	res=1047
i=139	minmul(i)=10	res=1057
i=140	minmul(i)=10	res=1067
i=141	minmul(i)=10	res=1077
i=142	minmul(i)=10	res=1087
i=143	minmul(i)=10	res=1097
i=144	minmul(i)=10	res=1107
i=145	minmul(i)=10	res=1117
i=146	minmul(i)=10	res=1127
i=147	minmul(i)=9	res=1136
i=148	minmul(i)=9	res=1145
i=149	minmul(i)=9	res=1154
i=150	minmul(i)=9	res=1163
i=151	minmul(i)=10	res=1173
i=152	minmul(i)=10	res=1183
i=153	minmul(i)=9	res=1192
i=154	minmul(i)=9	res=1201
i=155	minmul(i)=10	res=1211
i=156	minmul(i)=10	res=1221
i=157	minmul(i)=10	res=1231
i=158	minmul(i)=10	res=1241
i=159	minmul(i)=10	res=1251
i=160	minmul(i)=10	res=1261
i=161	minmul(i)=10	res=1271
i=162	minmul(i)=10	res=1281
i=163	minmul(i)=9	res=1290
i=164	minmul(i)=9	res=1299
i=165	minmul(i)=9	res=1308
i=166	minmul(i)=9	res=1317
i=167	minmul(i)=10	res=1327
i=168	minmul(i)=10	res=1337
i=169	minmul(i)=10	res=1347
i=170	minmul(i)=10	res=1357
i=171	minmul(i)=10	res=1367
i=172	minmul(i)=10	res=1377
i=173	minmul(i)=10	res=1387
i=174	minmul(i)=10	res=1397
i=175	minmul(i)=10	res=1407
i=176	minmul(i)=10	res=1417
i=177	minmul(i)=10	res=1427
i=178	minmul(i)=10	res=1437
i=179	minmul(i)=10	res=1447
i=180	minmul(i)=10	res=1457
i=181	minmul(i)=10	res=1467
i=182	minmul(i)=10	res=1477
i=183	minmul(i)=10	res=1487
i=184	minmul(i)=10	res=1497
i=185	minmul(i)=10	res=1507
i=186	minmul(i)=10	res=1517
i=187	minmul(i)=10	res=1527
i=188	minmul(i)=10	res=1537
i=189	minmul(i)=10	res=1547
i=190	minmul(i)=10	res=1557
